
LDH, titan, transmil, MUM1, meilleur modèle — epoch 44, val AUC: 0.6273

status, titan, transmil, MUM1, meilleur modèle — epoch 16, val AUC: 0.6878

LDH, titan, abmil, MUM1, meilleur modèle — epoch 1, val AUC: 0.5030

status, titan, abmil, MUM1, meilleur modèle — epoch 12, val AUC: 0.4774

LDH, titan, dsmil, MUM1, meilleur modèle — epoch 22, val AUC: 0.4917

status, titan, dsmil, MUM1, meilleur modèle — epoch 13, val AUC: 0.6139

LDH, feather, transmil, MUM1, meilleur modèle — epoch 44, val AUC: 0.6273

status, feather, transmil, MUM1, meilleur modèle — epoch 16, val AUC: 0.6878

LDH, feather, abmil, MUM1, meilleur modèle — epoch 1, val AUC: 0.5030

status, feather, abmil, MUM1, meilleur modèle — epoch 12, val AUC: 0.4774

LDH, feather, dsmil, MUM1, meilleur modèle — epoch 22, val AUC: 0.4917

status, feather, dsmil, MUM1, meilleur modèle — epoch 13, val AUC: 0.6139
